#time,accel_x,accel_y,accel_z
4235.294537,592.164754,-8810.098227,-296.082377
4235.294861,296.082377,-8503.660028,-148.041188
4235.295186,370.102971,-8580.269578,-148.041188
4235.295511,370.102971,-8427.050478,-444.123565
4235.295835,444.123565,-8656.879127,-296.082377
4235.296160,592.164754,-8580.269578,-370.102971
4235.296484,592.164754,-8656.879127,-296.082377
4235.296809,370.102971,-8656.879127,-370.102971
4235.297134,370.102971,-8120.612279,0.000000
4235.297458,370.102971,-8733.488677,-370.102971
4235.297783,444.123565,-8580.269578,-296.082377
4235.298107,444.123565,-8580.269578,-444.123565
4235.298432,518.144159,-8273.831378,-296.082377
4235.298757,222.061783,-8503.660028,-444.123565
4235.299081,518.144159,-8810.098227,-222.061783
4235.299406,518.144159,-8273.831378,-370.102971
4235.299730,296.082377,-8580.269578,-370.102971
4235.300055,740.205942,-8580.269578,-518.144159
4235.300379,296.082377,-8427.050478,-296.082377
4235.300704,296.082377,-8656.879127,-518.144159
4235.301029,296.082377,-8656.879127,0.000000
4235.301353,1036.288319,-8963.317327,-592.164754
4235.301678,518.144159,-8810.098227,-518.144159
4235.302002,444.123565,-8273.831378,-370.102971
4235.302327,444.123565,-8733.488677,-370.102971
4235.302652,592.164754,-8580.269578,-444.123565
4235.302976,296.082377,-8580.269578,-222.061783
4235.303301,370.102971,-8656.879127,-296.082377
4235.303625,148.041188,-8503.660028,-518.144159
4235.303950,518.144159,-8733.488677,-222.061783
4235.304275,592.164754,-8580.269578,-222.061783
4235.304599,518.144159,-8810.098227,-444.123565
4235.304924,518.144159,-8733.488677,-296.082377
4235.305248,296.082377,-8656.879127,-148.041188
4235.305573,592.164754,-7967.393179,-222.061783
4235.305898,296.082377,-8886.707777,-518.144159
4235.306222,296.082377,-8350.440928,0.000000
4235.306547,518.144159,-8427.050478,-444.123565
4235.306871,296.082377,-8810.098227,-370.102971
4235.307196,518.144159,-8886.707777,-296.082377
4235.307521,296.082377,-8503.660028,-444.123565
4235.307845,296.082377,-8427.050478,-296.082377
4235.308170,518.144159,-8503.660028,-296.082377
4235.308494,1036.288319,-8886.707777,-1110.308913
4235.308819,666.185348,-8580.269578,0.000000
4235.309144,444.123565,-8503.660028,-444.123565
4235.309468,222.061783,-8580.269578,-296.082377
4235.309793,296.082377,-8197.221829,-296.082377
4235.310117,370.102971,-8810.098227,-296.082377
4235.310442,370.102971,-8733.488677,-296.082377
4235.310767,518.144159,-8886.707777,-518.144159
4235.311091,592.164754,-8273.831378,-296.082377
4235.311416,444.123565,-8886.707777,-370.102971
4235.311740,370.102971,-8580.269578,-444.123565
4235.312065,666.185348,-8810.098227,-370.102971
4235.312390,296.082377,-8503.660028,0.000000
4235.312714,740.205942,-9039.926876,-222.061783
4235.313039,592.164754,-8580.269578,-370.102971
4235.313363,444.123565,-8503.660028,-518.144159
4235.313688,666.185348,-8963.317327,-222.061783
4235.314013,888.247130,-8503.660028,-592.164754
4235.314337,592.164754,-8503.660028,-370.102971
4235.314662,222.061783,-8886.707777,-148.041188
4235.314986,370.102971,-8427.050478,-370.102971
4235.315311,444.123565,-8810.098227,-592.164754
4235.315636,0.000000,-9269.755526,-518.144159
4235.315960,-888.247130,-8427.050478,-592.164754
4235.316285,-1480.411884,-9039.926876,-370.102971
4235.316609,-1628.453072,-8273.831378,-1110.308913
4235.316934,-1850.514855,-8503.660028,-222.061783
4235.317259,-1924.535449,-8197.221829,-666.185348
4235.317583,-1702.473667,-8656.879127,0.000000
4235.317908,-1480.411884,-7967.393179,-518.144159
4235.318232,-962.267725,-7890.783629,-148.041188
4235.318557,-814.226536,-8350.440928,-740.205942
4235.318882,-1332.370696,-9116.536426,-518.144159
4235.319206,-1776.494261,-8350.440928,-592.164754
4235.319531,-2294.638420,-9116.536426,-592.164754
4235.319855,-3034.844362,-8503.660028,-814.226536
4235.320180,-3552.988522,-8810.098227,0.000000
4235.320505,-3182.885551,-8580.269578,-518.144159
4235.320829,-3478.967927,-8580.269578,-296.082377
4235.321154,-2590.720797,-8656.879127,0.000000
4235.321478,-1998.556043,-8656.879127,-296.082377
4235.321803,-1776.494261,-8733.488677,-444.123565
4235.322128,-1554.432478,-8427.050478,-444.123565
4235.322452,-1998.556043,-9422.974625,-444.123565
4235.322777,-2738.761985,-8503.660028,-148.041188
4235.323101,-3330.926739,-8963.317327,-222.061783
4235.323426,-3701.029710,-8886.707777,-444.123565
4235.323751,-3627.009116,-9193.145976,74.020594
4235.324075,-3923.091493,-8886.707777,148.041188
4235.324400,-3478.967927,-8733.488677,-148.041188
4235.324724,-2516.700203,-8656.879127,-296.082377
4235.325049,-1850.514855,-8656.879127,-518.144159
4235.325374,-1850.514855,-7890.783629,-296.082377
4235.325698,-1850.514855,-8350.440928,-370.102971
4235.326023,-1554.432478,-9039.926876,-296.082377
4235.326347,-2442.679609,-8656.879127,-666.185348
4235.326672,-2368.659014,-9116.536426,0.000000
4235.326997,-2664.741391,-8197.221829,-148.041188
4235.327321,-2294.638420,-9116.536426,0.000000
4235.327646,-2072.576638,-8350.440928,-518.144159
4235.327970,-1776.494261,-9116.536426,148.041188
4235.328295,-1628.453072,-8580.269578,-740.205942
4235.328620,-1110.308913,-8886.707777,-518.144159
4235.328944,-962.267725,-7660.954980,-740.205942
4235.329269,-1406.391290,-8503.660028,-370.102971
4235.329593,-1850.514855,-8503.660028,-518.144159
4235.329918,-2516.700203,-8044.002729,0.000000
4235.330243,-2442.679609,-8197.221829,-518.144159
4235.330567,-2368.659014,-8197.221829,-518.144159
4235.330892,-2220.617826,-8427.050478,-148.041188
4235.331216,-1628.453072,-7967.393179,-296.082377
4235.331541,-592.164754,-8044.002729,-962.267725
4235.331866,-222.061783,-8810.098227,-370.102971
4235.332190,518.144159,-7890.783629,-888.247130
4235.332515,74.020594,-8197.221829,-148.041188
4235.332839,148.041188,-8503.660028,-740.205942
4235.333164,0.000000,-8656.879127,0.000000
4235.333489,-296.082377,-8427.050478,-518.144159
4235.333813,-518.144159,-8963.317327,-370.102971
4235.334138,-222.061783,-8044.002729,-592.164754
4235.334462,370.102971,-9039.926876,-296.082377
4235.334787,1110.308913,-8503.660028,-592.164754
4235.335111,962.267725,-8810.098227,-444.123565
4235.335436,1776.494261,-8733.488677,-814.226536
4235.335761,1110.308913,-8810.098227,-592.164754
4235.336085,1184.329507,-9039.926876,-592.164754
4235.336410,-222.061783,-9269.755526,-444.123565
4235.336734,-1554.432478,-8427.050478,-592.164754
4235.337059,-2664.741391,-9269.755526,-370.102971
4235.337384,-3404.947333,-9039.926876,-666.185348
4235.337708,-3627.009116,-8963.317327,74.020594
4235.338033,-2960.823768,-9346.365076,-370.102971
4235.338357,-3034.844362,-8273.831378,-740.205942
4235.338682,-1924.535449,-8503.660028,-592.164754
4235.339007,-1332.370696,-8580.269578,-518.144159
4235.339331,-1480.411884,-8656.879127,-814.226536
4235.339656,-1332.370696,-8273.831378,-518.144159
4235.339980,-1332.370696,-8886.707777,-592.164754
4235.340305,-1628.453072,-9116.536426,-888.247130
4235.340630,-2590.720797,-9499.584175,-518.144159
4235.340954,-2664.741391,-9422.974625,-148.041188
4235.341279,-2960.823768,-8886.707777,0.000000
4235.341603,-1998.556043,-9116.536426,-148.041188
4235.341928,-740.205942,-8810.098227,0.000000
4235.342253,-444.123565,-8044.002729,-888.247130
4235.342577,0.000000,-8350.440928,-592.164754
4235.342902,0.000000,-7967.393179,-592.164754
4235.343226,-1110.308913,-9499.584175,-148.041188
4235.343551,-1850.514855,-8273.831378,-666.185348
4235.343876,-3923.091493,-9193.145976,74.020594
4235.344200,-4885.359217,-8886.707777,74.020594
4235.344525,-5403.503377,-8656.879127,0.000000
4235.344849,-4515.256246,-9269.755526,518.144159
4235.345174,-6365.771101,-8120.612279,-222.061783
4235.345499,-1850.514855,-9193.145976,740.205942
4235.345823,-1554.432478,-7660.954980,-518.144159
4235.346148,-592.164754,-8963.317327,370.102971
4235.346472,1406.391290,-7967.393179,-370.102971
4235.346797,74.020594,-8886.707777,222.061783
4235.347122,-740.205942,-8197.221829,666.185348
4235.347446,-148.041188,-9116.536426,74.020594
4235.347771,-2516.700203,-10112.460574,666.185348
4235.348095,-5255.462188,-9193.145976,-370.102971
4235.348420,-5107.421000,-9806.022374,0.000000
4235.348745,-6513.812290,-8580.269578,-1184.329507
4235.349069,-4737.318029,-9193.145976,370.102971
4235.349394,-3404.947333,-7048.078582,-1258.350101
4235.349718,-2368.659014,-8120.612279,-74.020594
4235.350043,-222.061783,-6741.640382,-1110.308913
4235.350368,2072.576638,-7507.735880,0.000000
4235.350692,3182.885551,-7431.126331,0.000000
4235.351017,3923.091493,-7814.174080,296.082377
4235.351341,3182.885551,-8273.831378,370.102971
4235.351666,1036.288319,-8503.660028,-148.041188
4235.351991,1480.411884,-9729.412825,-222.061783
4235.352315,-1184.329507,-9499.584175,-518.144159
4235.352640,-4219.173869,-9193.145976,-1036.288319
4235.352964,-4885.359217,-9193.145976,-1554.432478
4235.353289,-5699.585753,-8580.269578,-1924.535449
4235.353614,-5255.462188,-7890.783629,-1184.329507
4235.353938,-3923.091493,-6588.421283,-1850.514855
4235.354263,-962.267725,-8503.660028,-444.123565
4235.354587,888.247130,-7354.516781,-1554.432478
4235.354912,4589.276840,-8810.098227,444.123565
4235.355237,4515.256246,-7201.297681,222.061783
4235.355561,5551.544565,-9729.412825,148.041188
4235.355886,3256.906145,-9806.022374,-592.164754
4235.356210,74.020594,-11031.775171,-666.185348
4235.356534,-3701.029710,-10035.851024,-740.205942
4235.356859,-5847.626942,-10112.460574,-1554.432478
4235.357183,-8290.306550,-9116.536426,-1258.350101
4235.357508,-6957.935855,-8580.269578,-518.144159
4235.357832,-4959.379811,-7737.564530,-740.205942
4235.358157,-3256.906145,-6818.249932,-1850.514855
4235.358481,1110.308913,-6818.249932,-1110.308913
4235.358806,5255.462188,-6358.592633,-370.102971
4235.359130,7624.121203,-7277.907231,-148.041188
4235.359455,8882.471304,-8197.221829,-222.061783
4235.359779,4737.318029,-10035.851024,-1110.308913
4235.360104,592.164754,-11184.994271,-74.020594
4235.360428,-4219.173869,-11338.213370,-2072.576638
4235.360753,-10288.862594,-12257.527968,-518.144159
4235.361077,-12953.603985,-10572.117872,-518.144159
4235.361402,-13841.851115,-8963.317327,592.164754
4235.361726,-9770.718434,-7431.126331,-962.267725
4235.362050,-4515.256246,-6741.640382,0.000000
4235.362375,962.267725,-5439.278036,-296.082377
4235.362699,7105.977043,-5669.106685,-148.041188
4235.363024,9622.677246,-6741.640382,148.041188
4235.363348,9178.553681,-7890.783629,962.267725
4235.363673,4663.297435,-9346.365076,740.205942
4235.363997,-1184.329507,-10801.946522,0.000000
4235.364322,-6069.688724,-11797.870669,666.185348
