#time,accel_x,accel_y,accel_z
4045.423862,-370.102971,-8886.707777,-962.267725
4045.424186,-666.185348,-8886.707777,-518.144159
4045.424511,296.082377,-8963.317327,-1406.391290
4045.424835,0.000000,-8656.879127,-962.267725
4045.425160,148.041188,-8427.050478,-1036.288319
4045.425484,148.041188,-8656.879127,-1332.370696
4045.425809,370.102971,-9039.926876,-740.205942
4045.426133,296.082377,-8886.707777,-1110.308913
4045.426457,0.000000,-9269.755526,-1332.370696
4045.426782,-814.226536,-9422.974625,-1036.288319
4045.427106,-962.267725,-9806.022374,-888.247130
4045.427431,-1924.535449,-9576.193725,-1258.350101
4045.427755,-2516.700203,-9882.631924,-962.267725
4045.428080,-2442.679609,-9576.193725,-666.185348
4045.428404,-2368.659014,-9576.193725,-444.123565
4045.428728,-2368.659014,-9422.974625,-518.144159
4045.429053,-2146.597232,-9039.926876,-666.185348
4045.429377,-1998.556043,-9039.926876,-888.247130
4045.429702,-2590.720797,-8503.660028,-592.164754
4045.430026,-1628.453072,-8656.879127,-592.164754
4045.430351,-2516.700203,-8963.317327,-666.185348
4045.430675,-2886.803174,-9193.145976,-962.267725
4045.430999,-3182.885551,-8733.488677,-592.164754
4045.431324,-3849.070898,-9269.755526,-814.226536
4045.431648,-3923.091493,-9193.145976,-518.144159
4045.431973,-4219.173869,-8427.050478,-518.144159
4045.432297,-4293.194464,-9039.926876,-518.144159
4045.432621,-3923.091493,-8503.660028,-148.041188
4045.432945,-2960.823768,-8350.440928,0.000000
4045.433270,-2738.761985,-7967.393179,-74.020594
4045.433594,-2220.617826,-7890.783629,0.000000
4045.433918,-2368.659014,-7814.174080,-370.102971
4045.434243,-2368.659014,-8350.440928,-222.061783
4045.434567,-2442.679609,-8427.050478,222.061783
4045.434891,-2368.659014,-8733.488677,444.123565
4045.435215,-2738.761985,-8350.440928,740.205942
4045.435540,-2368.659014,-8427.050478,814.226536
4045.435864,-2516.700203,-8197.221829,740.205942
4045.436188,-1776.494261,-8427.050478,888.247130
4045.436513,-740.205942,-8197.221829,666.185348
4045.436837,-592.164754,-8350.440928,740.205942
4045.437161,-592.164754,-8503.660028,740.205942
4045.437486,-370.102971,-8044.002729,370.102971
4045.437810,-1036.288319,-8120.612279,296.082377
4045.438134,-1110.308913,-8273.831378,444.123565
4045.438458,-1554.432478,-8273.831378,74.020594
4045.438783,-1480.411884,-8273.831378,592.164754
4045.439107,-2294.638420,-8197.221829,148.041188
4045.439431,-2146.597232,-8733.488677,296.082377
4045.439756,-2220.617826,-8273.831378,0.000000
4045.440080,-1258.350101,-8886.707777,-666.185348
4045.440404,-1554.432478,-8273.831378,-518.144159
4045.440728,-1480.411884,-8120.612279,-444.123565
4045.441053,-1924.535449,-7737.564530,-888.247130
4045.441377,-1776.494261,-8273.831378,-518.144159
4045.441701,-2368.659014,-8273.831378,-370.102971
4045.442026,-2220.617826,-8044.002729,-296.082377
4045.442350,-2072.576638,-8044.002729,-666.185348
4045.442674,-1406.391290,-8810.098227,-814.226536
4045.442998,-592.164754,-8350.440928,-962.267725
4045.443323,0.000000,-8886.707777,-1036.288319
4045.443647,1036.288319,-9039.926876,-888.247130
4045.443971,1110.308913,-9039.926876,-592.164754
4045.444296,1850.514855,-8886.707777,-1184.329507
4045.444620,1702.473667,-9193.145976,-1332.370696
4045.444944,1702.473667,-8963.317327,-1110.308913
4045.445269,1258.350101,-8963.317327,-1110.308913
4045.445593,1628.453072,-8656.879127,-888.247130
4045.445917,1258.350101,-8810.098227,-1332.370696
4045.446241,1110.308913,-9116.536426,-1332.370696
4045.446566,1924.535449,-9346.365076,-1406.391290
4045.446890,2294.638420,-9499.584175,-1332.370696
4045.447214,2146.597232,-9269.755526,-1480.411884
4045.447539,2368.659014,-9499.584175,-1036.288319
4045.447863,2368.659014,-9499.584175,-1332.370696
4045.448187,962.267725,-9806.022374,-1110.308913
4045.448511,1036.288319,-9346.365076,-1258.350101
4045.448836,148.041188,-9269.755526,-666.185348
4045.449160,-222.061783,-9193.145976,-814.226536
4045.449484,-666.185348,-8733.488677,-740.205942
4045.449809,-1110.308913,-8427.050478,-222.061783
4045.450133,-1184.329507,-7967.393179,-814.226536
4045.450457,-962.267725,-8350.440928,-370.102971
4045.450782,-814.226536,-8350.440928,-222.061783
4045.451106,0.000000,-8120.612279,-370.102971
4045.451430,666.185348,-7814.174080,-444.123565
4045.451754,1110.308913,-8273.831378,0.000000
4045.452079,1554.432478,-8427.050478,0.000000
4045.452403,1998.556043,-8656.879127,0.000000
4045.452727,1776.494261,-8503.660028,222.061783
4045.453052,888.247130,-7890.783629,74.020594
4045.453376,1110.308913,-7967.393179,0.000000
