#time,accel_x,accel_y,accel_z
5465.027250,-222.061783,-8580.269578,-1036.288319
5465.027574,814.226536,-8733.488677,0.000000
5465.027899,-1702.473667,-9039.926876,-296.082377
5465.028223,-1184.329507,-9652.803275,-1480.411884
5465.028548,-1554.432478,-9729.412825,0.000000
5465.028873,-1110.308913,-9116.536426,-148.041188
5465.029197,-518.144159,-8810.098227,-296.082377
5465.029522,74.020594,-8120.612279,-518.144159
5465.029846,1184.329507,-8120.612279,-888.247130
5465.030171,1554.432478,-7277.907231,-888.247130
5465.030495,962.267725,-8503.660028,-1406.391290
5465.030820,1480.411884,-8350.440928,-1406.391290
5465.031144,-1036.288319,-8503.660028,-666.185348
5465.031469,-888.247130,-9193.145976,-1406.391290
5465.031793,-2516.700203,-9499.584175,-740.205942
5465.032118,-3256.906145,-9346.365076,-518.144159
5465.032442,-3034.844362,-9193.145976,-888.247130
5465.032767,-1924.535449,-9193.145976,-740.205942
5465.033091,-1998.556043,-8733.488677,-666.185348
5465.033416,370.102971,-8656.879127,-1184.329507
5465.033740,518.144159,-7507.735880,-370.102971
5465.034065,814.226536,-8044.002729,-1480.411884
5465.034390,666.185348,-7890.783629,-1554.432478
5465.034714,-888.247130,-8580.269578,-888.247130
5465.035039,-1776.494261,-8810.098227,-1258.350101
5465.035363,-2590.720797,-8963.317327,-592.164754
5465.035688,-4441.235652,-8886.707777,-1258.350101
5465.036012,-4663.297435,-9806.022374,-518.144159
5465.036337,-4145.153275,-9422.974625,-296.082377
5465.036661,-3849.070898,-9346.365076,-666.185348
5465.036986,-3108.864956,-8963.317327,-444.123565
5465.037310,-2072.576638,-8427.050478,-666.185348
5465.037635,-1036.288319,-8733.488677,0.000000
5465.037959,-370.102971,-7814.174080,-222.061783
5465.038284,222.061783,-8886.707777,-148.041188
5465.038608,-592.164754,-8656.879127,-296.082377
5465.038933,-1184.329507,-8886.707777,0.000000
5465.039257,-1480.411884,-9269.755526,-148.041188
5465.039582,-2664.741391,-9882.631924,444.123565
5465.039907,-3478.967927,-9116.536426,296.082377
5465.040231,-2960.823768,-8886.707777,0.000000
5465.040556,-2368.659014,-9116.536426,222.061783
5465.040880,-1850.514855,-8733.488677,0.000000
5465.041205,0.000000,-8503.660028,148.041188
5465.041529,962.267725,-7814.174080,148.041188
5465.041854,1258.350101,-8044.002729,518.144159
5465.042178,1406.391290,-7354.516781,296.082377
5465.042503,1850.514855,-8656.879127,814.226536
5465.042827,1554.432478,-8044.002729,0.000000
5465.043152,740.205942,-8580.269578,740.205942
5465.043476,148.041188,-8580.269578,296.082377
5465.043801,0.000000,-8656.879127,592.164754
5465.044125,0.000000,-8580.269578,666.185348
5465.044450,370.102971,-8656.879127,370.102971
5465.044774,1110.308913,-7967.393179,518.144159
5465.045099,1776.494261,-7507.735880,0.000000
5465.045423,2886.803174,-8197.221829,148.041188
5465.045748,3256.906145,-7048.078582,-222.061783
5465.046073,3701.029710,-7354.516781,74.020594
5465.046397,3775.050304,-7507.735880,74.020594
5465.046722,3552.988522,-8810.098227,0.000000
5465.047046,3330.926739,-8120.612279,-518.144159
5465.047371,2738.761985,-8656.879127,-518.144159
5465.047695,2590.720797,-9116.536426,-666.185348
5465.048020,1850.514855,-9116.536426,-814.226536
5465.048344,2220.617826,-8810.098227,-370.102971
5465.048669,1850.514855,-8733.488677,-666.185348
5465.048993,2294.638420,-8656.879127,-740.205942
5465.049318,2738.761985,-8273.831378,-962.267725
5465.049642,3627.009116,-8197.221829,-1036.288319
5465.049967,3182.885551,-8044.002729,-962.267725
5465.050291,3404.947333,-8273.831378,-814.226536
5465.050616,2886.803174,-8580.269578,-1036.288319
5465.050940,2442.679609,-8963.317327,-1480.411884
5465.051265,2072.576638,-9269.755526,-1702.473667
5465.051590,1850.514855,-9499.584175,-1258.350101
5465.051914,888.247130,-9729.412825,-1406.391290
5465.052239,-148.041188,-9806.022374,-1332.370696
5465.052563,-148.041188,-9652.803275,-1406.391290
5465.052888,-814.226536,-9346.365076,-1332.370696
5465.053212,-666.185348,-9346.365076,-1332.370696
5465.053537,-814.226536,-8886.707777,-1332.370696
5465.053861,-592.164754,-9193.145976,-1702.473667
5465.054186,-740.205942,-8503.660028,-1406.391290
5465.054510,-666.185348,-8733.488677,-1184.329507
5465.054835,-888.247130,-9116.536426,-1480.411884
5465.055159,-592.164754,-9882.631924,-1036.288319
5465.055484,-1406.391290,-9422.974625,-888.247130
5465.055808,-2294.638420,-9269.755526,-962.267725
5465.056133,-2220.617826,-9422.974625,-888.247130
5465.056457,-2590.720797,-9422.974625,-666.185348
5465.056782,-2590.720797,-9269.755526,-518.144159
5465.057107,-2294.638420,-8656.879127,-444.123565
5465.057431,-2072.576638,-8733.488677,-296.082377
5465.057756,-1480.411884,-8427.050478,0.000000
5465.058080,-1258.350101,-8427.050478,-666.185348
5465.058405,-888.247130,-8656.879127,222.061783
5465.058729,-666.185348,-8197.221829,0.000000
5465.059054,-1036.288319,-8810.098227,148.041188
5465.059378,-1406.391290,-9116.536426,148.041188
5465.059703,-1702.473667,-8656.879127,1036.288319
5465.060027,-2072.576638,-8656.879127,518.144159
5465.060352,-1850.514855,-8810.098227,740.205942
5465.060676,-1332.370696,-8350.440928,814.226536
