#time,accel_x,accel_y,accel_z
5525.961108,1036.288319,-8273.831378,-740.205942
5525.961432,1332.370696,-8733.488677,-592.164754
5525.961757,518.144159,-8273.831378,-1702.473667
5525.962081,740.205942,-7814.174080,-666.185348
5525.962406,148.041188,-7890.783629,-1554.432478
5525.962731,370.102971,-8197.221829,-1110.308913
5525.963055,-444.123565,-8120.612279,-1332.370696
5525.963380,-296.082377,-9193.145976,-592.164754
5525.963704,0.000000,-8197.221829,-740.205942
5525.964029,444.123565,-8656.879127,-1332.370696
5525.964354,962.267725,-8963.317327,-1332.370696
5525.964678,444.123565,-8733.488677,-1628.453072
5525.965003,-222.061783,-9193.145976,-666.185348
5525.965327,-666.185348,-8273.831378,-1332.370696
5525.965652,-1480.411884,-9346.365076,-888.247130
5525.965977,-1850.514855,-8427.050478,-814.226536
5525.966301,-2664.741391,-9116.536426,0.000000
5525.966626,-2368.659014,-8427.050478,0.000000
5525.966950,-2294.638420,-8810.098227,-370.102971
5525.967275,-2072.576638,-9499.584175,-518.144159
5525.967600,-2146.597232,-9116.536426,-518.144159
5525.967924,-2072.576638,-8963.317327,-518.144159
5525.968249,-1998.556043,-8886.707777,-814.226536
5525.968573,-2146.597232,-9422.974625,-444.123565
5525.968898,-2516.700203,-9422.974625,-666.185348
5525.969223,-2960.823768,-8810.098227,-148.041188
5525.969547,-3552.988522,-9039.926876,0.000000
5525.969872,-3034.844362,-9193.145976,0.000000
5525.970196,-3108.864956,-8963.317327,0.000000
5525.970521,-2516.700203,-9116.536426,0.000000
5525.970846,-2812.782580,-8733.488677,-296.082377
5525.971170,-2812.782580,-8197.221829,-296.082377
5525.971495,-2738.761985,-8656.879127,-444.123565
5525.971819,-2442.679609,-8350.440928,74.020594
5525.972144,-2294.638420,-8580.269578,148.041188
5525.972469,-2590.720797,-8810.098227,-370.102971
5525.972793,-2146.597232,-8810.098227,296.082377
5525.973118,-2368.659014,-8886.707777,148.041188
5525.973442,-2220.617826,-9116.536426,592.164754
5525.973767,-2220.617826,-8886.707777,370.102971
5525.974092,-2220.617826,-8886.707777,444.123565
5525.974416,-2146.597232,-8350.440928,148.041188
5525.974741,-2516.700203,-7660.954980,814.226536
5525.975065,-2516.700203,-8656.879127,74.020594
5525.975390,-2812.782580,-8503.660028,296.082377
5525.975715,-2960.823768,-8350.440928,0.000000
5525.976039,-3256.906145,-8427.050478,0.000000
5525.976364,-3256.906145,-8044.002729,222.061783
5525.976688,-2960.823768,-8503.660028,370.102971
5525.977013,-2220.617826,-8963.317327,296.082377
5525.977338,-1776.494261,-8197.221829,74.020594
5525.977662,-1554.432478,-8120.612279,296.082377
5525.977987,-1110.308913,-8273.831378,0.000000
5525.978311,-592.164754,-8427.050478,-296.082377
5525.978636,-1036.288319,-8427.050478,0.000000
5525.978961,-888.247130,-7737.564530,222.061783
5525.979285,-962.267725,-8350.440928,-370.102971
5525.979610,-1184.329507,-8197.221829,-740.205942
5525.979934,-592.164754,-8350.440928,0.000000
5525.980259,-962.267725,-8197.221829,-592.164754
5525.980584,-518.144159,-8350.440928,-444.123565
5525.980908,0.000000,-8197.221829,-666.185348
5525.981233,740.205942,-8656.879127,-740.205942
5525.981557,888.247130,-8197.221829,-1036.288319
5525.981882,1480.411884,-8427.050478,-666.185348
5525.982207,1628.453072,-8733.488677,-740.205942
5525.982531,1702.473667,-8733.488677,-888.247130
5525.982856,1184.329507,-8733.488677,-888.247130
5525.983180,444.123565,-7814.174080,-814.226536
5525.983505,444.123565,-8733.488677,-814.226536
5525.983830,-222.061783,-8963.317327,-740.205942
5525.984154,-740.205942,-9116.536426,-1184.329507
5525.984479,-1776.494261,-9116.536426,-666.185348
5525.984803,-1406.391290,-9116.536426,-1258.350101
5525.985128,-3108.864956,-9269.755526,-1480.411884
5525.985453,-2368.659014,-9576.193725,-1258.350101
5525.985777,-3478.967927,-8656.879127,-962.267725
5525.986102,-3256.906145,-8580.269578,-1036.288319
5525.986426,-2664.741391,-8580.269578,-962.267725
5525.986751,-2146.597232,-8350.440928,-1480.411884
5525.987076,-2368.659014,-8886.707777,-814.226536
5525.987400,-2072.576638,-8503.660028,-1332.370696
5525.987725,-1924.535449,-9193.145976,-592.164754
5525.988049,-1554.432478,-8656.879127,-740.205942
5525.988374,-1332.370696,-9116.536426,-666.185348
5525.988699,-1258.350101,-8580.269578,-1036.288319
5525.989023,-1184.329507,-8733.488677,-740.205942
5525.989348,-370.102971,-8273.831378,-444.123565
5525.989672,74.020594,-9499.584175,-592.164754
5525.989997,0.000000,-8427.050478,-740.205942
5525.990322,-222.061783,-9499.584175,-518.144159
5525.990646,-1036.288319,-8963.317327,-148.041188
5525.990971,-1776.494261,-8886.707777,-666.185348
5525.991295,-2590.720797,-9193.145976,0.000000
5525.991620,-3849.070898,-8733.488677,0.000000
5525.991945,-4441.235652,-8503.660028,222.061783
