#time,accel_x,accel_y,accel_z
5530.246086,1924.535449,-7431.126331,-296.082377
5530.246411,888.247130,-7048.078582,-814.226536
5530.246736,-370.102971,-8350.440928,-518.144159
5530.247060,-1554.432478,-8886.707777,-962.267725
5530.247385,-2368.659014,-9806.022374,-518.144159
5530.247710,-2072.576638,-10035.851024,-444.123565
5530.248034,-2886.803174,-9806.022374,-1036.288319
5530.248359,-1628.453072,-9806.022374,0.000000
5530.248684,-666.185348,-8963.317327,-222.061783
5530.249009,296.082377,-8963.317327,0.000000
5530.249333,1406.391290,-7967.393179,-1184.329507
5530.249658,1184.329507,-8044.002729,-1332.370696
5530.249983,444.123565,-7814.174080,-888.247130
5530.250307,222.061783,-7431.126331,-1850.514855
5530.250632,-1554.432478,-8886.707777,-962.267725
5530.250957,-2072.576638,-8197.221829,-1036.288319
5530.251281,-2960.823768,-9269.755526,-1110.308913
5530.251606,-2738.761985,-9652.803275,-1480.411884
5530.251931,-2664.741391,-9652.803275,-666.185348
5530.252255,-1406.391290,-9806.022374,-888.247130
5530.252580,-1184.329507,-9422.974625,-962.267725
5530.252905,-296.082377,-9116.536426,-592.164754
5530.253229,-222.061783,-8580.269578,-1036.288319
5530.253554,-444.123565,-9729.412825,-740.205942
5530.253879,-1258.350101,-8197.221829,-1110.308913
5530.254204,-1628.453072,-8656.879127,-444.123565
5530.254528,-3034.844362,-8120.612279,-888.247130
5530.254853,-3034.844362,-9039.926876,-370.102971
5530.255178,-3775.050304,-8656.879127,-1110.308913
5530.255502,-4293.194464,-9499.584175,0.000000
5530.255827,-3923.091493,-8963.317327,-444.123565
5530.256152,-3256.906145,-9882.631924,0.000000
5530.256476,-2664.741391,-9116.536426,-222.061783
5530.256801,-2368.659014,-9269.755526,444.123565
5530.257126,-1998.556043,-8963.317327,518.144159
5530.257450,-1850.514855,-8810.098227,222.061783
5530.257775,-1628.453072,-9116.536426,74.020594
5530.258100,-2072.576638,-8886.707777,518.144159
5530.258424,-2960.823768,-8656.879127,296.082377
5530.258749,-3108.864956,-8273.831378,0.000000
5530.259074,-3552.988522,-8733.488677,74.020594
5530.259399,-4367.215058,-8810.098227,222.061783
5530.259723,-4145.153275,-8656.879127,148.041188
5530.260048,-3775.050304,-8886.707777,148.041188
5530.260373,-3256.906145,-8273.831378,148.041188
5530.260697,-2664.741391,-8733.488677,740.205942
5530.261022,-1406.391290,-8197.221829,296.082377
5530.261347,-740.205942,-7890.783629,666.185348
5530.261671,-222.061783,-7737.564530,444.123565
5530.261996,0.000000,-8503.660028,518.144159
5530.262321,296.082377,-7737.564530,222.061783
5530.262645,0.000000,-8273.831378,296.082377
5530.262970,-592.164754,-8044.002729,0.000000
5530.263295,-1628.453072,-8350.440928,0.000000
5530.263620,-1554.432478,-8120.612279,0.000000
5530.263944,-1924.535449,-8580.269578,148.041188
5530.264269,-1554.432478,-8427.050478,-370.102971
5530.264594,-1258.350101,-8733.488677,0.000000
5530.264918,-962.267725,-7814.174080,-592.164754
5530.265243,-666.185348,-7967.393179,-296.082377
5530.265568,-518.144159,-8120.612279,-592.164754
5530.265892,-296.082377,-8120.612279,-444.123565
5530.266217,148.041188,-7967.393179,-666.185348
5530.266542,-370.102971,-8580.269578,-814.226536
5530.266866,-1406.391290,-8197.221829,-888.247130
5530.267191,-1776.494261,-8963.317327,-296.082377
5530.267516,-1702.473667,-9039.926876,-740.205942
5530.267840,-2072.576638,-9346.365076,-740.205942
